RCID	OBJL	BOY_FIELD	BOY_VALUE	LON	LAT
59383	BOYLAT	BOYLAT	4.0	121.399247	31.506192
59384	BOYLAT	BOYLAT	4.0	121.430552	31.500025
59385	BOYLAT	BOYLAT	4.0	121.445024	31.485914
59386	BOYLAT	BOYLAT	4.0	121.421719	31.485526
59387	BOYLAT	BOYLAT	4.0	121.458829	31.472526
59397	BOYLAT	BOYLAT	4.0	121.42358	31.493081
59398	BOYLAT	BOYLAT	4.0	121.403553	31.492303
59399	BOYLAT	BOYLAT	4.0	121.455667	31.449658
59419	BOYLAT	BOYLAT	4.0	121.321296	31.520363
59420	BOYLAT	BOYLAT	4.0	121.324576	31.547863
59421	BOYLAT	BOYLAT	4.0	121.331483	31.553375
59422	BOYLAT	BOYLAT	4.0	121.308582	31.564824
59430	BOYLAT	BOYLAT	4.0	121.314811	31.571072
59431	BOYLAT	BOYLAT	4.0	121.301364	31.590734
68439	BOYLAT	BOYLAT	4.0	121.152634	31.78119
68443	BOYLAT	BOYLAT	4.0	120.987636	31.762496
68444	BOYLAT	BOYLAT	4.0	121.000849	31.774658
68445	BOYLAT	BOYLAT	4.0	121.001053	31.779523
68446	BOYLAT	BOYLAT	4.0	120.989308	31.776064
68448	BOYLAT	BOYLAT	4.0	120.98991	31.780583
68449	BOYLAT	BOYLAT	4.0	121.292298	31.586517
68450	BOYLAT	BOYLAT	4.0	121.275921	31.605049
68451	BOYLAT	BOYLAT	4.0	121.289584	31.614705
68452	BOYLAT	BOYLAT	4.0	121.256884	31.622901
68453	BOYLAT	BOYLAT	4.0	121.262388	31.626064
68454	BOYLAT	BOYLAT	4.0	121.27112	31.63353
68455	BOYLAT	BOYLAT	4.0	121.27911	31.63653
68456	BOYLAT	BOYLAT	4.0	121.238148	31.637096
68457	BOYLAT	BOYLAT	4.0	121.243458	31.64108
68458	BOYLAT	BOYLAT	4.0	121.264069	31.650435
68459	BOYLAT	BOYLAT	4.0	121.270107	31.655345
68461	BOYLAT	BOYLAT	4.0	121.22246	31.655477
68462	BOYLAT	BOYLAT	4.0	121.252333	31.671247
68463	BOYLAT	BOYLAT	4.0	121.257272	31.676463
68464	BOYLAT	BOYLAT	4.0	121.200375	31.664623
68465	BOYLAT	BOYLAT	4.0	121.204163	31.668111
68466	BOYLAT	BOYLAT	4.0	121.236863	31.692976
68467	BOYLAT	BOYLAT	4.0	121.137641	31.703111
68468	BOYLAT	BOYLAT	4.0	121.145109	31.705166
68470	BOYLAT	BOYLAT	4.0	121.202663	31.729705
68471	BOYLAT	BOYLAT	4.0	121.123773	31.724857
68472	BOYLAT	BOYLAT	4.0	121.086035	31.730475
68473	BOYLAT	BOYLAT	4.0	121.103504	31.744282
68474	BOYLAT	BOYLAT	4.0	121.06075	31.737852
68475	BOYLAT	BOYLAT	4.0	121.070206	31.73785
68476	BOYLAT	BOYLAT	4.0	121.10592	31.759267
68477	BOYLAT	BOYLAT	4.0	121.105314	31.766109
68478	BOYLAT	BOYLAT	4.0	121.049732	31.738314
68479	BOYLAT	BOYLAT	4.0	121.245806	31.698016
68480	BOYLAT	BOYLAT	4.0	121.186077	31.680893
68481	BOYLAT	BOYLAT	4.0	121.16234	31.68871
68482	BOYLAT	BOYLAT	4.0	121.165794	31.693143
68483	BOYLAT	BOYLAT	4.0	121.229462	31.716228
68484	BOYLAT	BOYLAT	4.0	121.20642	31.732717
