lon lat depth
122.230776 29.869043 34.00
122.230707 29.878478 49.00
122.221583 29.885489 33.00
122.219181 29.888410 38.00
122.187029 29.914112 58.00
122.190499 29.912053 54.00
122.187041 29.906583 59.00
122.164868 29.912297 94.00
122.168932 29.910680 87.00
122.166925 29.907511 90.00
122.171365 29.907555 81.00
122.162183 29.908276 93.00
122.158533 29.909871 99.00
122.159574 29.905751 85.00
122.160289 29.912767 103.00
122.153075 29.909731 91.00
122.155824 29.913311 112.00
122.154999 29.905587 71.00
122.149653 29.907355 73.00
122.147220 29.904466 59.00
122.143402 29.907108 73.00
122.150952 29.901603 54.00
122.151052 29.903018 49.00
122.143578 29.901707 97.00
122.139901 29.904711 86.00
122.136287 29.907186 78.00
122.136352 29.903092 65.00
122.132020 29.906000 36.00
122.125280 29.906866 32.00
122.125400 29.909582 56.00
122.084749 29.921425 92.00
122.085444 29.912418 99.00
122.079038 29.914664 114.00
122.074588 29.913314 113.00
122.063754 29.912285 109.00
122.060114 29.910059 113.00
122.071093 29.909846 106.00
122.067336 29.913393 114.00
122.060359 29.914999 115.00
122.056412 29.918089 111.00
122.060199 29.918958 109.00
122.051614 29.915079 114.00
122.056446 29.913269 117.00
122.049250 29.912390 114.00
122.039825 29.921297 115.00
122.041807 29.917621 99.00
122.043205 29.919348 116.00
122.048799 29.917664 115.00
122.048118 29.921318 109.00
122.046586 29.914846 111.00
122.038134 29.914824 107.00
122.036541 29.918522 103.00
122.035797 29.909763 39.00
122.045604 29.909401 63.00
122.049272 29.905142 82.00
122.041924 29.908329 55.00
122.038332 29.910425 73.00
122.041955 29.913228 97.00
122.035625 29.912511 88.00
122.056484 29.908571 107.00
122.052570 29.909125 103.00
122.056564 29.903832 87.00
122.060212 29.905658 95.00
122.067486 29.908791 99.00
122.063783 29.907715 105.00
122.074750 29.907126 102.00
122.078285 29.910353 102.00
122.059779 29.924465 56.00
122.065940 29.919582 105.00
122.057807 29.921521 105.00
122.056492 29.922606 95.00
