RCID	LON	LAT	symbol
17458	119.816573	35.487615	null
17459	120.479339	35.100337	null
17460	120.565977	35.099976	null
17461	119.848381	34.838882	null
17462	120.815417	34.248963	null
17463	120.396646	34.353906	null
17464	119.766646	34.795099	null
17465	119.840001	34.825953	null
17466	119.892155	34.845897	null
20984	120.7441667	35.2433333	null
24391	120.313787	35.8872173	null
24727	120.0397362	34.9603792	null
24783	119.6121389	35.2858056	null
24786	120.8288056	34.2681111	null
24790	120.4791667	34.5429167	null
24793	120.7391944	34.3304167	null
24796	120.8183611	34.3090556	null
17297	119.573549	35.339333	BOYSPR60.png
17298	119.9594722	34.6249722	BOYSPR61.png
17301	120.448256	35.986017	BOYSPR60.png
17302	120.614087	35.981295	BOYSPR61.png
17304	119.581465	35.050005	BOYSPR61.png
17305	119.513272	35.048533	BOYSPR60.png
17306	119.417579	35.051283	BOYSPR60.png
17308	119.496425	35.115352	BOYSPR61.png
17309	119.988223	35.331928	BOYSPR61.png
17310	119.917985	35.383596	BOYSPR60.png
17311	119.862071	35.445521	BOYSPR61.png
17312	119.777586	35.552292	BOYSPR60.png
17313	119.300778	35.010707	BOYSPR61.png
17314	119.449167	34.964078	BOYSPR60.png
17315	119.549953	34.958056	BOYSPR61.png
17316	119.397591	34.979195	BOYSPR60.png
17317	119.615993	34.670789	BOYSPR60.png
17318	119.664825	35.214335	BOYSPR60.png
17319	119.529966	35.27014	BOYSPR60.png
17320	119.777129	35.171947	BOYSPR61.png
17321	119.713463	34.825898	BOYSPR61.png
17322	119.652712	34.795629	null
17323	119.631242	34.786537	BOYSPR60.png
17325	119.839612	35.459929	BOYSPR60.png
17326	119.795617	35.513513	BOYSPR61.png
17327	120.327905	34.29222	BOYSPR61.png
17328	120.000153	34.946257	BOYSPR61.png
17329	119.941348	34.92159	BOYSPR61.png
17330	119.872627	34.887619	BOYSPR60.png
17331	119.827378	34.87373	BOYSPR61.png
17332	119.787156	34.851758	BOYSPR60.png
17333	119.645778	34.775308	BOYSPR61.png
17334	119.903932	35.103476	BOYSPR61.png
17335	119.777573	35.11592	BOYSPR60.png
17336	119.640853	35.117893	BOYSPR61.png
17337	119.516828	35.101171	BOYSPR60.png
17338	119.451369	35.099088	null
17471	119.992891	34.638187	null
17472	120.528588	35.988211	null
17473	119.623832	34.956052	null
17474	119.635423	35.046688	null
17475	120.344389	34.281663	null
17478	120.269093	35.911296	null
17479	120.030625	35.639725	null
17480	120.116651	35.869685	null
17481	119.759883	35.555909	null
5324	120.873102	33.374309	null
5325	120.878879	33.329754	null
5326	120.916879	33.227256	null
5327	121.651672	33.014704	null
5328	121.620117	33.01401	null
5329	120.891712	33.566556	null
5330	120.891268	33.520862	null
5331	120.818408	33.727414	null
5332	120.881379	33.221812	null
5337	121.314872	32.653683	null
5338	121.158819	32.610267	null
5339	121.132181	32.595323	null
5340	120.768208	33.927539	null
7213	121.948776	32.252486	null
7434	121.3247222	33.65375	null
7504	121.3350833	33.7157778	null
7507	121.5720556	33.4401667	null
7510	121.7821111	33.1841667	null
5249	121.117438	32.616804	BOYSPR61.png
5250	121.545146	32.551184	BOYSPR61.png
5251	121.33414	32.550131	BOYSPR60.png
5252	121.474369	32.550079	BOYSPR60.png
5253	121.673518	32.544169	BOYSPR61.png
5254	121.603117	32.543046	BOYSPR60.png
5255	121.443064	32.511991	BOYSPR61.png
5256	121.528813	32.487519	BOYSPR60.png
5257	121.591145	32.466741	BOYSPR61.png
5258	121.676144	32.444575	BOYSPR61.png
5259	121.641478	32.442742	BOYSPR60.png
5261	120.837713	33.337088	BOYSPR61.png
5262	120.860435	33.284033	BOYSPR60.png
5264	120.367419	34.13395	BOYSPR61.png
5266	120.810908	33.654165	BOYSPR61.png
5267	120.810075	33.598694	BOYSPR60.png
5268	120.803075	33.553667	BOYSPR61.png
5269	120.802214	33.498196	BOYSPR60.png
5270	120.795297	33.453836	BOYSPR61.png
5271	120.816964	33.403725	BOYSPR60.png
5441	121.751976	32.537268	null
5442	121.713476	32.439881	null
5443	120.6394167	33.8744167	null
13847	123.999925	29.499919	null
13852	122.499951	26.916629	null
13856	122.499951	26.166642	null
14938	122.150521	31.550424	null
14939	123.500848	31.250074	null
14940	121.944152	30.821748	null
14941	121.924875	30.814637	null
14942	122.099149	30.797859	null
14943	121.7341	30.79622	null
14944	121.554048	30.747777	null
14945	122.299979	30.964995	null
14946	121.69999	30.724999	null
14947	122.33384	31.392043	null
14952	121.962457	30.750082	null
14953	121.98429	30.749638	null
14954	122.807413	30.986821	null
